id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-06-0745-01A	0	0.0189079004436432	0	0.0896570640438751	0	0.118217437088736	0	0.0204252581489802	0.0114677781347357	0	0.0181520620035706	0.032101640826997	0.195189307857681	0.056901927801316	0.0500109253827738	0.250228545841692	0	0	0	0.054762404611763	0.0216354969862018	0.0623422508280351	0	0.349377103259521	0.939581240030067
TCGA-14-1402-02A	0	0.0379613120510395	0.0107097520544243	0	0	0.0885413900054021	0	0.0272118962823644	0	0.136427143825785	0	0.0612530194053509	0.158269850581989	0	0.080044131749748	0.27774088312123	0	0	0	0.0533581007453692	0.0027205835489984	0.0657619366282987	0	0.331598748141433	0.949610567725871
TCGA-14-0781-01B	0.0704431204159972	0	0.00604174917324812	0	0	0.148588037385428	0.00878975041347587	0	0	0.00801087628918937	0.0461242477930434	0	0.234997745988774	0.0526543880938803	0.0270397056217646	0.30304215627508	0	0	0.000830281298486307	0	0.0617054408340868	0.0317325004175461	0	0.333216829648308	0.947437044115983
TCGA-32-5222-01A	0	0.00902280398922335	0	0	0	0.200339251255966	0	0.0189399246601986	0	0	0.0269167666377881	0	0.149416431649838	0.108015723689644	0.0590244697369083	0.244466077896904	0	0	0	0.00794398822585429	0.118935265048847	0.0569792972088285	0	0.37483697934884	0.928263049417969
TCGA-28-5204-01A	0.00654124431101954	0.0305908140780283	0	0.0092416194971426	0	0.190345189051031	0	0.00922387316657878	0	0	0	0.0124089246684027	0.171252028902484	0	0.0982705863320893	0.408417621225032	0	0.0180880585275921	0	0	0	0.0456200402405998	0	0.29293900751393	0.969795640016361
TCGA-06-5410-01A	0.00974102416351087	0.00781611171491874	0	0.0238505764345507	0	0.159583786280097	0	0	0.00613175654200509	0	0.0316660445150608	0.00064109070217616	0.0715484422319225	0.116573636772089	0.0405405296639436	0.38516606497167	0.00299733143054319	0.00472175400199185	0.00648520118165433	0	0.0412089626403914	0.0913276867534751	0	0.545178142068508	0.841677585465923
TCGA-14-1829-01A	0	0.0282887678352072	0.0150516913546254	0.0490429986662912	0	0.147407627465364	0	0.0173182834000239	0	0.013954603684638	0	0.0427333192972695	0.219872594760434	0	0.0402275311527148	0.306550543035428	0	0.00914826550733848	0.00326208473493878	0	0.0707844427925751	0.0363572463131524	0	0.372210082949014	0.928974153169807
TCGA-02-0047-01A	0	0.0312313344381131	0	0.0242668310895075	0	0.105735994860507	0	0.0119845443485799	0	0	0.00797066708916606	0	0.258450729095962	0.12201569198925	0.0290350906763074	0.362488002615947	0	0	0	0	0.0369054518048349	0.00991566199182511	0	0.375442162562549	0.932564862257747
TCGA-15-0742-01A	0.0166909236749274	0	0	0.0188617449973286	0	0.158494851945795	0	0.0435924117498276	0	0	0.0419226974600027	0	0.226443827189225	0.078906945416939	0.0784517605144358	0.296368961864189	0	0	0	0	0	0.0402658751873295	0	0.187939067442373	1.01513742751349
TCGA-19-2619-01A	0.00379435136879755	0	0	0	0	0.143074971914493	0	0.0492544971972136	0	0	0.0633848510872658	0	0.204422951887455	0.0467572880865686	0.0238705046973707	0.266853757386524	0	0.0422682620977412	0	0.0545149567922662	0.0764926062881527	0.0253110011961515	0.02	0.160373666066344	1.01916206779956
